transaction_amount,account_age_days,transactions_24h,avg_amount_30d,international,high_risk_country,device_new,failed_logins_24h,transaction_hour,customer_tenure_years,is_high_risk
10.97,1198,5,43.19,0,0,0,0,0,3.51,0
96.8,1314,5,98.74,0,0,0,0,16,3.58,0
34.67,3497,2,17.87,1,0,0,0,22,10.0,0
193.82,2082,2,248.79,0,0,0,0,0,5.8,0
360.74,3487,2,135.73,0,1,0,0,21,9.63,0
74.06,105,10,64.48,0,0,0,0,17,0.67,0
61.86,488,3,63.46,0,0,0,0,17,1.08,0
149.18,1409,4,103.86,0,0,0,0,7,3.97,0
92.48,1810,4,65.75,0,0,0,0,19,4.74,0
151.83,1354,2,67.98,0,1,0,0,16,3.45,0
82.66,1978,6,144.9,0,0,0,0,19,5.92,0
24.78,4595,1,122.95,0,0,0,1,22,12.94,0
83.85,2300,7,77.38,0,0,0,0,12,6.46,0
49.57,2940,7,76.07,0,0,0,0,23,8.48,0
90.9,3947,9,92.64,0,0,1,0,8,10.92,0
159.78,888,2,49.84,1,0,0,0,13,2.88,1
27.25,722,3,58.97,1,0,0,0,22,1.66,0
215.72,2138,1,126.29,1,1,0,1,1,5.78,1
142.27,3108,4,73.38,0,0,0,0,6,8.62,0
37.45,2465,7,27.13,0,0,0,0,1,6.38,0
121.65,599,3,55.6,1,0,0,0,16,1.39,0
99.93,3187,5,137.73,0,0,0,0,6,8.28,0
41.98,4621,2,67.64,0,0,0,0,3,12.87,0
149.65,2662,2,72.31,0,0,0,0,2,7.11,0
225.36,4492,5,136.11,0,0,0,0,17,12.37,0
927.93,2105,6,350.61,0,0,0,0,6,5.93,0
53.41,2001,4,46.04,0,0,0,0,22,5.41,0
746.25,1554,1,239.5,1,0,1,0,21,4.24,1
24.99,2601,2,30.45,0,0,0,1,8,7.15,0
44.6,2875,3,93.69,0,0,0,0,7,8.0,0
7.68,528,4,31.96,0,0,0,0,21,1.89,0
111.07,4879,4,240.13,0,0,0,0,7,12.96,0
281.49,766,4,158.72,0,0,0,1,13,2.11,0
72.58,2765,2,202.39,0,0,0,0,19,7.14,0
29.22,1553,3,40.11,0,0,0,1,20,4.73,0
615.39,4435,2,140.84,0,0,0,0,18,11.49,0
97.28,3220,5,53.77,1,0,1,0,14,8.86,1
197.9,77,4,56.49,0,0,0,1,7,0.05,0
61.02,137,4,122.15,1,0,0,0,5,0.16,0
29.35,1016,3,164.25,0,0,0,0,12,3.01,0
277.27,4102,3,95.92,0,0,0,0,23,11.4,0
18.28,4323,5,49.28,0,0,0,0,13,11.49,0
44.84,2755,2,42.07,0,0,0,0,9,7.68,0
301.09,2847,4,258.64,0,0,0,1,17,7.88,0
67.42,3233,6,130.99,1,0,0,0,3,8.58,0
429.5,2438,3,144.86,0,0,0,0,3,6.15,0
1382.05,2554,1,467.22,0,0,0,0,8,7.25,0
62.38,1844,4,42.41,0,0,0,0,18,5.27,0
618.27,2453,6,631.16,0,0,1,0,20,6.88,0
1158.33,1477,4,1013.06,0,1,0,0,2,3.84,0
138.05,3739,1,297.3,0,0,0,0,3,10.64,0
133.53,3394,2,157.86,0,0,0,0,14,10.46,0
44.5,3584,7,47.89,0,0,1,0,17,9.85,0
99.39,1829,6,180.47,1,0,0,0,22,5.17,0
103.58,1978,8,57.16,0,0,0,1,9,5.11,0
29.49,2176,4,80.05,0,0,0,0,4,5.66,0
47.01,3013,5,64.56,0,1,1,0,6,8.83,0
21.12,3884,4,102.21,0,0,1,0,18,11.4,0
323.19,45,5,228.25,0,0,0,0,15,0.02,0
87.83,4730,6,52.22,1,0,0,0,9,12.7,0
57.2,4310,6,37.03,0,0,1,0,13,11.46,0
281.55,4968,6,36.51,0,0,0,0,5,13.37,0
72.47,1389,2,37.54,0,0,0,0,13,3.8,0
13.41,2425,2,25.92,0,0,0,0,12,6.18,0
253.19,2732,4,39.24,1,0,0,0,3,7.21,1
120.35,691,6,229.2,0,1,0,1,4,2.19,1
88.01,1787,2,50.67,0,0,0,1,19,4.81,0
168.32,125,3,100.05,0,0,0,0,10,0.04,0
16.62,596,6,30.77,0,0,0,0,3,1.2,0
247.76,2473,5,93.29,0,0,0,0,14,7.11,0
25.93,1579,5,20.23,0,0,0,1,11,3.93,0
69.45,382,9,46.57,0,0,0,0,18,0.97,0
308.16,4178,8,494.54,0,1,0,0,3,11.76,1
127.16,589,4,51.09,0,0,0,0,19,1.77,0
109.22,1159,5,199.53,0,0,0,0,21,3.24,0
33.74,1174,10,117.22,0,0,0,0,21,3.29,0
195.43,2582,4,72.07,0,0,0,0,3,6.71,0
35.86,4959,8,48.34,0,0,0,0,11,13.3,0
235.07,141,0,228.04,0,0,0,0,8,0.2,0
271.52,811,2,70.68,0,0,0,0,21,1.19,0
612.46,1666,2,276.43,0,0,0,0,21,4.39,0
71.35,551,8,45.82,0,0,0,0,21,1.44,0
180.33,37,9,85.27,0,0,0,0,20,0.04,0
71.03,4579,2,118.2,0,0,0,1,11,12.46,0
185.99,1118,3,109.79,0,1,0,0,0,3.1,0
66.02,3110,2,30.35,0,0,0,0,2,8.58,0
81.25,4421,1,47.88,0,0,0,0,5,12.64,0
60.36,3699,2,69.63,0,0,0,0,8,10.15,0
2.99,212,8,41.14,0,0,1,0,12,0.85,0
206.85,1774,8,140.03,0,0,0,0,17,4.62,0
141.29,252,2,130.38,1,0,0,0,5,0.78,0
13.14,4669,6,17.02,0,0,0,0,13,12.86,0
33.13,2317,4,19.22,0,0,0,0,11,6.24,0
35.19,4880,5,29.22,0,0,0,0,4,12.74,0
103.19,2004,7,89.46,0,0,0,0,5,4.99,0
146.65,2792,5,414.28,0,0,0,0,20,7.77,0
21.6,315,6,59.99,0,0,0,0,11,0.82,0
129.01,4934,9,99.54,0,0,0,0,15,13.4,0
36.7,4290,2,34.8,0,0,1,1,8,11.48,0
38.85,2529,2,35.25,0,0,0,0,3,6.93,0
